tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,actorId,actorName,actorName2
tt0056000,movie,Magic Fountain,La fuente mágica,0,1963,\N,90,"Comedy,Romance",nm0482881,"nm0102167,nm0485337,nm0920195,nm0487870,nm0844651,nm0407111,nm0328010",nm0482881,Fernando Lamas,
tt0056329,movie,Paloma herida,Paloma herida,0,1963,\N,85,\N,nm0273477,"nm0273477,nm0750031",nm0273477,Emilio Fernandez,
tt0056499,movie,The Slime People,The Slime People,0,1963,\N,76,"Horror,Sci-Fi",nm0404665,"nm0731741,nm0730924",nm0404665,Robert Hutton,
tt0056819,movie,The Human Dutch,Alleman,0,1963,\N,90,Documentary,nm0351842,"nm0138471,nm0351842,nm0465547",nm0351842,Bert Haanstra,
tt0056918,movie,The Ceremony,The Ceremony,0,1963,\N,105,"Crime,Drama",nm0002131,"nm0340190,nm0059553,nm0002131,nm0265995",nm0002131,Laurence Harvey,
tt0057001,movie,La diosa impura,La diosa impura,0,1963,\N,104,Drama,nm0090109,"nm0090109,nm0747739",nm0090109,Armando Bo,
tt0057109,movie,"500,000",Gojuman-nin no isan,0,1963,\N,97,"Action,Adventure,Drama",nm0001536,nm0452878,nm0001536,Toshiro Mifune,
tt0057159,movie,House of Dreams,House of Dreams,0,1963,\N,71,"Horror,Mystery",nm0077663,nm0077663,nm0077663,Robert Berry,
tt0057181,movie,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,0,1964,\N,82,Horror,nm0245081,"nm0689377,nm0798102,nm0450693",nm0245081,Ray Dennis Steckler,
tt0057264,movie,Lujuria tropical,Lujuria tropical,0,1963,\N,95,"Drama,Romance",nm0090109,nm0090109,nm0090109,Armando Bo,
